# THE GRAPHICS REGISTRY — every graphic this port has been OBSERVED to draw.
# Written by the game itself (sms-recomp/frame_interp/graphics_db.cpp). Rows are added automatically the first
# frame an emitter draws; measured columns are rewritten every run; the CURATED columns `re` and `note` are
# never touched by the game. Edit those with tools/gfx/graphics_db.py.
#
# WHAT THIS FILE DOES NOT SAY: a graphic that has never drawn in a recorded run is ABSENT, not "does not
# exist" — this is a census of what was observed. `lerp=unmeasured` means the interpolation audit filed
# nothing (the run had SBR_LERP60 off), NOT that the graphic snaps.
#
# re:   unknown | native-override (auto hints) | yes | partial | no | identified   (curated verdicts)
# lerp: yes | partial | camera-only | no | 2d-correct | discontinuous-correct | no-primitives | unmeasured   (MEASURED, per run)
#
# There are deliberately NO draw counts here. A row is a FLAG that a source of visual output exists and
# what is known about it; counts changed every run and made the file churn without saying anything.
key	kind	symbol	stages	re	lerp	first_seen	note
0x801f44f0	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x1a0	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
0x801f460c	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x2bc	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
0x801f4728	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x3d8	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
0x801f4844	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x4f4	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
0x801f4960	immediate	drawRopeBetweenBoards__14THangingBridgeCFfi+0x610	stage8	yes	seam-owned	2026-08-11	THangingBridge::drawRopeBetweenBoards — one of six GXBegin sites building the bridge's rope strips from the swaying boards. Claimed by the pop.hanging-bridge seam, which opens one identity for the whole bridge at THangingBridge::perform (draw phase only, flags bit 0x8); aurora merges the consecutive same-state strips into one draw, so the per-site row carries no verdict.
0x801f56b4	immediate	drawOneRope__19THangingBridgeBoardCFRCQ29JGeometry8TVec3<f>+0xa0	stage8	yes	seam-owned	2026-08-11	THangingBridgeBoard::drawOneRope — the per-board rope emitter inside the bridge draw. Same owner as the drawRopeBetweenBoards sites: the pop.hanging-bridge seam.
0x80224f98	indexed	draw__15TDLColorTexQuadFv+0x8c	boot,plaza,stage1	unknown	seam-owned	2026-08-13	measured under pop.tdl-indexed-quad — a seam claims this site's primitives, so it has no verdict of its own
0x802254fc	indexed	draw__10TDLTexQuadFv+0xf4	boot,plaza,stage1	unknown	seam-owned	2026-08-13	measured under pop.tdl-indexed-quad — a seam claims this site's primitives, so it has no verdict of its own
0x80225c68	j3d-shape	SMS_DrawShape__FP12J3DModelDataUs+0x38	boot,plaza,stage1,stage13,stage15,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.shadow-volume — a seam claims this site's primitives, so it has no verdict of its own
0x80225cc8	indexed	SMS_SettingDrawShape__FP12J3DModelDataUs+0x34	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	yes	seam-owned	2026-08-11	SMS_SettingDrawShape replays a MATERIAL display list: register writes, zero primitives. Nothing to interpolate.
0x80225d2c	immediate	SMS_DrawCube__FRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>+0x2c	boot,plaza,stage1,stage13,stage15,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.shadow-alpha-cube — a seam claims this site's primitives, so it has no verdict of its own
0x8022d2f0	immediate	SMS_FillScreenAlpha__FUc+0x14c	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	yes	exact-correct	2026-08-11	screen-space dst-alpha mask (SMS_FillScreenAlpha, ScreenUtil.cpp:236): identity pos matrix + eye-space quad under a perspective projection. Declared EXACT by mark_exact.cpp; it must not move at all.
0x8022d8d4	immediate	perform__12TAfterEffectFUlPQ26JDrama9TGraphics+0x3dc	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	2d-correct	2026-08-11	TAfterEffect::perform — the dash afterimage, composited from the previous EFB copy each time it runs. Its geometry is a fixed full-screen quad; the animation is the FEEDBACK FILTER over successive frames, which no geometry interpolation reaches. Whether the effect advances per tick or per present is the AURORA_EFB_FEEDBACK switch (default: per tick, matching retail trail length), and that is the axis that matters here — not the quad.
0x80230720	immediate	drawShadowVolume__19TMBindShadowManagerFbP16TAlphaShadowQuad+0x144	boot,stage1,stage8	native-override	seam-owned	2026-08-12	measured under pop.shadow-volume — a seam claims this site's primitives, so it has no verdict of its own
0x80230a68	immediate	drawShadowVolume__19TMBindShadowManagerFbP16TAlphaShadowQuad+0x48c	boot,stage1,stage8	native-override	seam-owned	2026-08-12	measured under pop.shadow-volume — a seam claims this site's primitives, so it has no verdict of its own
0x8024d8fc	immediate	perform__6TMarioFUlPQ26JDrama9TGraphics+0x654	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	yes	yes	2026-08-11	TMario occlusion probe cube (MarioMain.cpp:245): boxDrawPrepare loads model x view around Mario and GXDrawCube draws a unit cube. Tagged by call site (one TMario, one draw per tick, self-checked) - now pairs.
0x8024d96c	immediate	perform__6TMarioFUlPQ26JDrama9TGraphics+0x6c4	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	yes	yes	2026-08-11	TMario occlusion probe cube, dst-alpha 0 variant (MarioMain.cpp:258). Same identity and same fix as +0x654.
0x8024dab4	immediate	perform__6TMarioFUlPQ26JDrama9TGraphics+0x80c	plaza,stage1	identified	partial	2026-08-12	MarioMain.cpp:287 silhouette box — unit cube through boxDrawPrepare(mViewMtx), blended DSTALPHA/INVDSTALPHA, drawn only while Mario is behind geometry. Matrix-carried, so the ordinary paired path handles it once it has an identity; singleton identity granted in attrib_helpers.cpp. Confirmed against the DOL: bl GXDrawCube at 0x8024dab0 (so 0x8024dab4 is the site key), GXSetBlendMode+GXSetDstAlpha(1,0) before it, j3dSys.offFlag(0x2) after.
0x8027c93c	immediate	drawShineShadowVolume__18TModelWaterManagerFPA4_f+0x2c0	boot,plaza,stage1	native-override	seam-owned	2026-08-21	measured under pop.shine-shadow-slice — a seam claims this site's primitives, so it has no verdict of its own
0x8027ca94	indexed	drawShineShadowVolume__18TModelWaterManagerFPA4_f+0x418	boot,plaza,stage1	native-override	no-primitives	2026-08-21	-
0x8027cabc	indexed	drawShineShadowVolume__18TModelWaterManagerFPA4_f+0x440	boot,plaza,stage1	native-override	no-primitives	2026-08-21	-
0x8027cbb8	immediate	drawShineShadowVolume__18TModelWaterManagerFPA4_f+0x53c	boot,plaza,stage1	yes	exact-correct	2026-08-11	drawShineShadowVolume's two identity-matrix screen quads: the same dst-alpha mask SMS_FillScreenAlpha draws. Marked EXACT per PRIMITIVE from the existing tag_shadow override, so the quads stop taking a camera delta while the sphere-slice display lists from the same call keep interpolating.
0x8027d034	immediate	drawMirror__18TModelWaterManagerFPA4_f+0x408	boot,plaza,stage1,stage15,stage24	native-override	seam-owned	2026-08-13	measured under pop.water-mirror — a seam claims this site's primitives, so it has no verdict of its own
0x8027d24c	immediate	drawMirror__18TModelWaterManagerFPA4_f+0x620	boot,plaza,stage1,stage15,stage24	native-override	seam-owned	2026-08-13	measured under pop.water-mirror — a seam claims this site's primitives, so it has no verdict of its own
0x8029651c	immediate	perform__11TNintendo2DFUlPQ26JDrama9TGraphics+0x12c	boot,plaza	unknown	2d-correct	2026-08-21	-
0x802cd410	immediate	drawTexCoord__10J2DPictureFiiiiffffffffPA3_A4_f+0x124	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	seam-owned	2026-08-11	J2DPicture::drawTexCoord — the textured-quad emitter behind most J2D pictures. Overridden in overrides/hud.cpp for widescreen anchoring (each element pinned to its real 16:9 edge by .blo name) and observed by the diag_2d.cpp census; both always run the real body. Orthographic, so snapping is correct by projection.
0x802d0200	immediate	drawSelf__9J2DScreenFiiPA3_A4_f+0x38	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	identified	2d-correct	2026-08-11	J2DScreen::drawSelf — the root draw of a J2D screen, which walks its pane tree. Observed by the diag_2d.cpp 2D census (observe-only). Orthographic; its per-population row is matrix-hashed, so it reports placement only.
0x802d2170	immediate	drawContents__9J2DWindowFRC7JUTRect+0x1e8	boot,plaza,stage1	identified	2d-correct	2026-08-11	J2DWindow::drawContents — the J2D window widget's interior fill. Orthographic HUD geometry; its motion, if any, is a UI slide, and the audit's per-population row for it is matrix-hashed (placement only).
0x802d22dc	immediate	draw__Q29J2DWindow7TextureFiiiiUsUsUsUsUcQ28JUtility6TColorQ28JUtility6TColor+0x7c	boot,plaza,stage1	identified	2d-correct	2026-08-11	J2DWindow::Texture::draw — one textured piece of a J2D window frame (corner/edge). Same population and same caveat as drawContents.
0x802e03b8	indexed	draw__8J3DShapeCFv+0x28	boot,plaza,stage1,stage13,stage15,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.j3d-shape — a seam claims this site's primitives, so it has no verdict of its own
0x802e04c8	indexed	draw__8J3DShapeCFv+0x138	boot,plaza,stage1,stage13,stage15,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.j3d-shape — a seam claims this site's primitives, so it has no verdict of its own
0x802ed8f4	indexed	callDL__17J3DDisplayListObjFv+0x1c	boot,plaza,stage1,stage10,stage11,stage12,stage13,stage14,stage15,stage2,stage20,stage21,stage22,stage23,stage24,stage25,stage26,stage27,stage28,stage3,stage4,stage5,stage6,stage7,stage8,stage9	yes	no-primitives	2026-08-11	J3DDisplayListObj::callDL replays a material display list (J3DMaterial.cpp:841): register writes, zero primitives. This is the site whose CALL count once made it look like 61.9% of the untagged-draw gap - it emits no draws at all.
0x802f1e50	immediate	drawChar_scale__10JUTResFontFffffib+0x350	boot,plaza,stage1,stage2	native-override	seam-owned	2026-08-21	measured under pop.text-glyph — a seam claims this site's primitives, so it has no verdict of its own
0x80330358	immediate	exec__20JPADrawExecBillBoardFPC14JPADrawContextP15JPABaseParticle+0xfc	boot,plaza,stage1,stage13,stage15,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.jpa-particle — a seam claims this site's primitives, so it has no verdict of its own
0x80330578	immediate	exec__23JPADrawExecRotBillBoardFPC14JPADrawContextP15JPABaseParticle+0x144	boot,plaza,stage1,stage13,stage2,stage24	native-override	seam-owned	2026-08-21	measured under pop.jpa-particle — a seam claims this site's primitives, so it has no verdict of its own
0x803314fc	immediate	exec__25JPADrawExecRotDirectionalFPC14JPADrawContextP15JPABaseParticle+0x35c	boot,plaza,stage1,stage2	native-override	seam-owned	2026-08-21	measured under pop.jpa-particle — a seam claims this site's primitives, so it has no verdict of its own
0x80331f44	immediate	exec__30JPADrawExecRotDirectionalCrossFPC14JPADrawContextP15JPABaseParticle+0x3f0	boot	native-override	seam-owned	2026-08-21	measured under pop.jpa-particle — a seam claims this site's primitives, so it has no verdict of its own
0x80332364	immediate	exec__23JPADrawExecDirBillBoardFPC14JPADrawContextP15JPABaseParticle+0x270	boot,plaza,stage1,stage24	native-override	seam-owned	2026-08-21	measured under pop.jpa-particle — a seam claims this site's primitives, so it has no verdict of its own
0x80332d08	immediate	exec__17JPADrawExecStripeFPC14JPADrawContext+0xd4	boot	native-override	seam-owned	2026-08-21	measured under pop.particle-stripe — a seam claims this site's primitives, so it has no verdict of its own
0x80333188	immediate	exec__22JPADrawExecStripeCrossFPC14JPADrawContext+0xe4	boot,plaza,stage1,stage13,stage14,stage2,stage21,stage23,stage5,stage7,stage8,stage9	yes	seam-owned	2026-08-11	Now covered by the pop.particle-stripe seam - this row is the pre-fix history of it.
0x803334e8	immediate	exec__22JPADrawExecStripeCrossFPC14JPADrawContext+0x444	boot,plaza,stage1,stage13,stage14,stage2,stage21,stage23,stage5,stage7,stage8,stage9	yes	seam-owned	2026-08-11	The second GXBegin in JPADrawExecStripeCross. Covered by pop.particle-stripe since the seam landed; pre-fix history.
pop.cogwheel	deforming	(labelled by a seam in sms-recomp/frame_interp)	stage9	yes	yes	2026-08-11	TCogwheel::draw, Noki Bay's balance scale. Vertices rebuilt per tick and lerped by the vertex path; two strips per call get separate identities so the second cannot pair against the first's previous positions.
pop.cone-beam	deforming	(labelled by a seam in sms-recomp/frame_interp)	stage4	identified	yes	2026-08-11	-
pop.flag	deforming	(labelled by a seam in sms-recomp/frame_interp)	boot,plaza,stage1,stage13,stage20,stage3,stage4,stage9	identified	yes	2026-08-11	-
pop.grass	deforming	(labelled by a seam in sms-recomp/frame_interp)	boot,plaza,stage2,stage23,stage8	identified	yes	2026-08-11	-
pop.hanging-bridge	deforming	(labelled by a seam in sms-recomp/frame_interp)	stage8	identified	yes	2026-08-11	-
